Document_No,Dominant_Topic,media,political elite,other,public
0,0.0,0,0,0,1
2621,2.0,0,0,0,1
2912,3.0,0,0,0,1
1,3.0,0,0,0,1
2,0.0,0,0,0,1
433,0.0,0,0,0,1
7786,1.0,0,0,0,1
3,2.0,0,0,0,1
4,3.0,0,0,0,1
5,3.0,0,0,0,1
3281,4.0,0,0,0,1
6,3.0,0,0,0,1
7,1.0,0,0,0,1
8,3.0,0,0,0,1
9,3.0,0,0,0,1
3860,4.0,0,0,0,1
10,3.0,0,0,0,1
11,3.0,0,0,0,1
12,3.0,0,0,0,1
10685,2.0,0,0,0,1
13,3.0,0,0,0,1
2760,4.0,0,0,0,1
14,3.0,0,0,0,1
15,3.0,0,0,0,1
16,3.0,0,0,0,1
922,3.0,0,0,0,1
7271,2.0,0,0,0,1
17,2.0,0,0,0,1
887,2.0,0,0,0,1
18,3.0,0,0,0,1
19,3.0,0,0,0,1
20,3.0,0,0,0,1
21,3.0,0,0,0,1
10821,1.0,0,0,0,1
22,3.0,0,0,0,1
23,3.0,0,0,0,1
24,3.0,0,0,0,1
25,0.0,0,0,0,1
26,3.0,0,0,0,1
27,3.0,0,0,0,1
28,3.0,0,0,0,1
8112,0.0,0,0,0,1
29,3.0,0,0,0,1
30,3.0,0,0,0,1
31,3.0,0,0,0,1
32,0.0,0,0,0,1
3041,3.0,0,0,0,1
4478,1.0,0,0,0,1
8963,0.0,0,0,0,1
10850,3.0,0,0,0,1
33,1.0,0,0,0,1
34,3.0,0,0,0,1
4911,0.0,0,0,0,1
7074,3.0,0,0,0,1
35,3.0,0,0,0,1
36,3.0,0,0,0,1
1042,3.0,0,0,0,1
37,3.0,0,0,0,1
38,3.0,0,0,0,1
3275,3.0,0,0,0,1
6112,3.0,0,0,0,1
6139,3.0,0,0,0,1
39,3.0,0,0,0,1
40,3.0,0,0,0,1
5787,2.0,0,0,0,1
41,3.0,0,0,0,1
42,3.0,0,0,0,1
43,3.0,0,0,0,1
44,3.0,0,0,0,1
45,3.0,0,0,0,1
46,3.0,0,0,0,1
3358,0.0,0,0,0,1
47,3.0,0,0,0,1
1232,3.0,0,0,0,1
5273,3.0,0,0,0,1
48,3.0,0,0,0,1
3370,2.0,0,0,0,1
9128,4.0,0,0,0,1
49,3.0,0,0,0,1
50,3.0,0,0,0,1
51,3.0,0,0,0,1
52,1.0,0,0,0,1
4614,1.0,0,0,0,1
8717,2.0,0,0,0,1
53,3.0,0,0,0,1
54,3.0,0,0,0,1
55,3.0,0,0,0,1
56,3.0,0,0,0,1
57,3.0,0,0,0,1
58,3.0,0,0,0,1
59,0.0,0,0,0,1
60,3.0,0,0,0,1
1677,1.0,0,0,0,1
61,3.0,0,0,0,1
62,3.0,0,0,0,1
63,3.0,0,0,0,1
64,3.0,0,0,0,1
8653,3.0,0,0,0,1
65,2.0,0,0,0,1
1655,0.0,0,0,0,1
3693,2.0,0,0,0,1
10093,2.0,0,0,0,1
66,3.0,0,0,0,1
67,3.0,0,0,0,1
5915,3.0,0,0,0,1
5994,3.0,0,0,0,1
68,3.0,0,0,0,1
69,3.0,0,0,0,1
70,3.0,0,0,0,1
78,3.0,0,0,0,1
71,3.0,0,0,0,1
72,3.0,0,0,0,1
73,3.0,0,0,0,1
3688,4.0,0,0,0,1
9329,3.0,0,0,0,1
74,3.0,0,0,0,1
75,3.0,0,0,0,1
11617,3.0,0,0,0,1
76,3.0,0,0,0,1
11584,3.0,0,0,0,1
77,3.0,0,0,0,1
1874,0.0,0,0,0,1
4736,0.0,0,0,0,1
4737,0.0,0,0,0,1
79,3.0,0,0,0,1
80,3.0,0,0,0,1
81,3.0,0,0,0,1
82,3.0,0,0,0,1
83,3.0,0,0,0,1
84,3.0,0,0,0,1
5206,3.0,0,0,0,1
85,3.0,0,0,0,1
86,3.0,0,0,0,1
87,3.0,0,0,0,1
88,3.0,0,0,0,1
89,3.0,0,0,0,1
11741,2.0,0,0,0,1
90,3.0,0,0,0,1
12440,0.0,0,0,0,1
91,3.0,0,0,0,1
817,3.0,0,0,0,1
92,3.0,0,0,0,1
93,3.0,0,0,0,1
4009,3.0,0,0,0,1
94,3.0,0,0,0,1
95,3.0,0,0,0,1
96,3.0,0,0,0,1
97,3.0,0,0,0,1
98,3.0,0,0,0,1
99,3.0,0,0,0,1
100,3.0,0,0,0,1
101,3.0,0,0,0,1
4610,3.0,0,0,0,1
102,3.0,0,0,0,1
8027,3.0,0,0,0,1
103,3.0,0,0,0,1
104,3.0,0,0,0,1
105,3.0,0,0,0,1
106,3.0,0,0,0,1
107,3.0,0,0,0,1
7220,4.0,0,0,0,1
12620,3.0,0,0,0,1
12887,2.0,0,0,0,1
108,3.0,0,0,0,1
109,3.0,0,0,0,1
110,3.0,0,0,0,1
